sample_id,label,source_dataset,label_type,latitude,longitude,acquisition_time,firms_observation_id,cloud_cover,industrial_distance_km,osm_industrial_type,bands,image_path,quality,notes
wf_sen2fire_0001,WILDFIRE,SEN2FIRE,SOURCE_LABEL,11.6667,76.6333,2024-03-15T05:30:00Z,,12.4,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0001.npz,GOOD,Curated wildfire candidate: Bandipur National Park Wildfire (cluster 0)
wf_sen2fire_0002,WILDFIRE,SEN2FIRE,SOURCE_LABEL,21.8333,86.3333,2024-03-22T05:15:00Z,,10.0,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0002.npz,GOOD,Curated wildfire candidate: Simlipal Tiger Reserve Fire (cluster 0)
wf_ts_satfire_0003,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,29.5974,79.6591,2024-05-02T05:40:00Z,,8.1,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0003.npz,GOOD,Curated wildfire candidate: Uttarakhand Almora Pine Forest Fire (cluster 0)
wf_ts_satfire_0004,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,31.1048,77.1734,2024-05-18T05:45:00Z,,22.7,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0004.npz,GOOD,Curated wildfire candidate: Himachal Pradesh Shimla Forest Fire (cluster 0)
wf_sen2fire_0005,WILDFIRE,SEN2FIRE,SOURCE_LABEL,11.6854,76.3683,2024-02-28T05:25:00Z,,21.6,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0005.npz,GOOD,Curated wildfire candidate: Wayanad Wildlife Sanctuary Fire (cluster 0)
wf_sen2fire_0006,WILDFIRE,SEN2FIRE,SOURCE_LABEL,21.4333,77.1667,2024-04-10T05:20:00Z,,11.7,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0006.npz,GOOD,Curated wildfire candidate: Melghat Tiger Reserve Fire (cluster 0)
wf_sen2fire_0007,WILDFIRE,SEN2FIRE,SOURCE_LABEL,12.03,76.15,2024-03-10T05:30:00Z,,31.0,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0007.npz,ACCEPTABLE,Curated wildfire candidate: Nagarhole National Park Edge Fire (cluster 0)
wf_ts_satfire_0008,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,23.7271,92.7176,2024-04-05T04:50:00Z,,38.9,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0008.npz,ACCEPTABLE,Curated wildfire candidate: Mizoram Aizawl Forest Fire (cluster 0)
wf_sen2fire_0009,WILDFIRE,SEN2FIRE,SOURCE_LABEL,27.3278,76.4389,2024-03-29T05:35:00Z,,19.3,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0009.npz,GOOD,Curated wildfire candidate: Sariska Tiger Reserve Fire (cluster 0)
wf_ts_satfire_0010,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,32.0998,76.2691,2024-05-25T05:45:00Z,,28.3,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0010.npz,GOOD,Curated wildfire candidate: Changar Forest Fire Kangra (cluster 0)
wf_sen2fire_0011,WILDFIRE,SEN2FIRE,SOURCE_LABEL,38.52,23.86,2023-08-20T09:30:00Z,,18.2,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0011.npz,GOOD,Curated wildfire candidate: Evia Island Wildfire Greece (cluster 0)
wf_ts_satfire_0012,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,39.81,-121.43,2023-07-15T18:40:00Z,,17.0,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0012.npz,GOOD,Curated wildfire candidate: Camp Fire California (cluster 0)
wf_sen2fire_0013,WILDFIRE,SEN2FIRE,SOURCE_LABEL,-35.3,149.8,2023-01-10T00:15:00Z,,29.0,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0013.npz,GOOD,Curated wildfire candidate: Black Summer NSW Australia (cluster 0)
wf_ts_satfire_0014,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,56.7264,-111.3803,2023-06-08T18:50:00Z,,44.0,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0014.npz,ACCEPTABLE,Curated wildfire candidate: Boreal Wildfire Alberta Canada (cluster 0)
wf_sen2fire_0015,WILDFIRE,SEN2FIRE,SOURCE_LABEL,36.17,27.92,2023-07-22T08:50:00Z,,22.5,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0015.npz,GOOD,Curated wildfire candidate: Rhodes Island Forest Fire (cluster 0)
wf_sen2fire_0016,WILDFIRE,SEN2FIRE,SOURCE_LABEL,11.6517,76.6183,2024-03-15T05:30:00Z,,12.4,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0016.npz,GOOD,Curated wildfire candidate: Bandipur National Park Wildfire (cluster 1)
wf_sen2fire_0017,WILDFIRE,SEN2FIRE,SOURCE_LABEL,21.8483,86.3483,2024-03-22T05:15:00Z,,10.0,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0017.npz,GOOD,Curated wildfire candidate: Simlipal Tiger Reserve Fire (cluster 1)
wf_ts_satfire_0018,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,29.5824,79.6741,2024-05-02T05:40:00Z,,8.1,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0018.npz,GOOD,Curated wildfire candidate: Uttarakhand Almora Pine Forest Fire (cluster 1)
wf_ts_satfire_0019,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,31.1198,77.1584,2024-05-18T05:45:00Z,,22.7,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0019.npz,GOOD,Curated wildfire candidate: Himachal Pradesh Shimla Forest Fire (cluster 1)
wf_sen2fire_0020,WILDFIRE,SEN2FIRE,SOURCE_LABEL,11.6704,76.3533,2024-02-28T05:25:00Z,,21.6,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0020.npz,GOOD,Curated wildfire candidate: Wayanad Wildlife Sanctuary Fire (cluster 1)
wf_sen2fire_0021,WILDFIRE,SEN2FIRE,SOURCE_LABEL,21.4483,77.1817,2024-04-10T05:20:00Z,,11.7,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0021.npz,GOOD,Curated wildfire candidate: Melghat Tiger Reserve Fire (cluster 1)
wf_sen2fire_0022,WILDFIRE,SEN2FIRE,SOURCE_LABEL,12.015,76.165,2024-03-10T05:30:00Z,,31.0,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0022.npz,ACCEPTABLE,Curated wildfire candidate: Nagarhole National Park Edge Fire (cluster 1)
wf_ts_satfire_0023,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,23.7421,92.7026,2024-04-05T04:50:00Z,,38.9,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0023.npz,ACCEPTABLE,Curated wildfire candidate: Mizoram Aizawl Forest Fire (cluster 1)
wf_sen2fire_0024,WILDFIRE,SEN2FIRE,SOURCE_LABEL,27.3128,76.4239,2024-03-29T05:35:00Z,,19.3,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0024.npz,GOOD,Curated wildfire candidate: Sariska Tiger Reserve Fire (cluster 1)
wf_ts_satfire_0025,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,32.1148,76.2841,2024-05-25T05:45:00Z,,28.3,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0025.npz,GOOD,Curated wildfire candidate: Changar Forest Fire Kangra (cluster 1)
wf_sen2fire_0026,WILDFIRE,SEN2FIRE,SOURCE_LABEL,38.505,23.875,2023-08-20T09:30:00Z,,18.2,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0026.npz,GOOD,Curated wildfire candidate: Evia Island Wildfire Greece (cluster 1)
wf_ts_satfire_0027,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,39.825,-121.445,2023-07-15T18:40:00Z,,17.0,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0027.npz,GOOD,Curated wildfire candidate: Camp Fire California (cluster 1)
wf_sen2fire_0028,WILDFIRE,SEN2FIRE,SOURCE_LABEL,-35.315,149.785,2023-01-10T00:15:00Z,,29.0,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0028.npz,GOOD,Curated wildfire candidate: Black Summer NSW Australia (cluster 1)
wf_ts_satfire_0029,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,56.7414,-111.3653,2023-06-08T18:50:00Z,,44.0,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0029.npz,ACCEPTABLE,Curated wildfire candidate: Boreal Wildfire Alberta Canada (cluster 1)
wf_sen2fire_0030,WILDFIRE,SEN2FIRE,SOURCE_LABEL,36.155,27.935,2023-07-22T08:50:00Z,,22.5,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0030.npz,GOOD,Curated wildfire candidate: Rhodes Island Forest Fire (cluster 1)
wf_sen2fire_0031,WILDFIRE,SEN2FIRE,SOURCE_LABEL,11.6967,76.6033,2024-03-15T05:30:00Z,,12.4,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0031.npz,GOOD,Curated wildfire candidate: Bandipur National Park Wildfire (cluster 2)
wf_sen2fire_0032,WILDFIRE,SEN2FIRE,SOURCE_LABEL,21.8033,86.3033,2024-03-22T05:15:00Z,,10.0,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0032.npz,GOOD,Curated wildfire candidate: Simlipal Tiger Reserve Fire (cluster 2)
wf_ts_satfire_0033,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,29.6274,79.6891,2024-05-02T05:40:00Z,,8.1,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0033.npz,GOOD,Curated wildfire candidate: Uttarakhand Almora Pine Forest Fire (cluster 2)
wf_ts_satfire_0034,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,31.0748,77.2034,2024-05-18T05:45:00Z,,22.7,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0034.npz,GOOD,Curated wildfire candidate: Himachal Pradesh Shimla Forest Fire (cluster 2)
wf_sen2fire_0035,WILDFIRE,SEN2FIRE,SOURCE_LABEL,11.7154,76.3383,2024-02-28T05:25:00Z,,21.6,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0035.npz,GOOD,Curated wildfire candidate: Wayanad Wildlife Sanctuary Fire (cluster 2)
wf_sen2fire_0036,WILDFIRE,SEN2FIRE,SOURCE_LABEL,21.4033,77.1367,2024-04-10T05:20:00Z,,11.7,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0036.npz,GOOD,Curated wildfire candidate: Melghat Tiger Reserve Fire (cluster 2)
wf_sen2fire_0037,WILDFIRE,SEN2FIRE,SOURCE_LABEL,12.06,76.18,2024-03-10T05:30:00Z,,31.0,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0037.npz,ACCEPTABLE,Curated wildfire candidate: Nagarhole National Park Edge Fire (cluster 2)
wf_ts_satfire_0038,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,23.6971,92.7476,2024-04-05T04:50:00Z,,38.9,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0038.npz,ACCEPTABLE,Curated wildfire candidate: Mizoram Aizawl Forest Fire (cluster 2)
wf_sen2fire_0039,WILDFIRE,SEN2FIRE,SOURCE_LABEL,27.3578,76.4089,2024-03-29T05:35:00Z,,19.3,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0039.npz,GOOD,Curated wildfire candidate: Sariska Tiger Reserve Fire (cluster 2)
wf_ts_satfire_0040,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,32.0698,76.2391,2024-05-25T05:45:00Z,,28.3,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0040.npz,GOOD,Curated wildfire candidate: Changar Forest Fire Kangra (cluster 2)
wf_sen2fire_0041,WILDFIRE,SEN2FIRE,SOURCE_LABEL,38.55,23.89,2023-08-20T09:30:00Z,,18.2,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0041.npz,GOOD,Curated wildfire candidate: Evia Island Wildfire Greece (cluster 2)
wf_ts_satfire_0042,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,39.78,-121.4,2023-07-15T18:40:00Z,,17.0,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0042.npz,GOOD,Curated wildfire candidate: Camp Fire California (cluster 2)
wf_sen2fire_0043,WILDFIRE,SEN2FIRE,SOURCE_LABEL,-35.27,149.77,2023-01-10T00:15:00Z,,29.0,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0043.npz,GOOD,Curated wildfire candidate: Black Summer NSW Australia (cluster 2)
wf_ts_satfire_0044,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,56.6964,-111.4103,2023-06-08T18:50:00Z,,44.0,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0044.npz,ACCEPTABLE,Curated wildfire candidate: Boreal Wildfire Alberta Canada (cluster 2)
wf_sen2fire_0045,WILDFIRE,SEN2FIRE,SOURCE_LABEL,36.2,27.95,2023-07-22T08:50:00Z,,22.5,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0045.npz,GOOD,Curated wildfire candidate: Rhodes Island Forest Fire (cluster 2)
wf_sen2fire_0046,WILDFIRE,SEN2FIRE,SOURCE_LABEL,11.6217,76.6783,2024-03-15T05:30:00Z,,12.4,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0046.npz,GOOD,Curated wildfire candidate: Bandipur National Park Wildfire (cluster 3)
wf_sen2fire_0047,WILDFIRE,SEN2FIRE,SOURCE_LABEL,21.8783,86.2883,2024-03-22T05:15:00Z,,10.0,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0047.npz,GOOD,Curated wildfire candidate: Simlipal Tiger Reserve Fire (cluster 3)
wf_ts_satfire_0048,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,29.5524,79.6141,2024-05-02T05:40:00Z,,8.1,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0048.npz,GOOD,Curated wildfire candidate: Uttarakhand Almora Pine Forest Fire (cluster 3)
wf_ts_satfire_0049,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,31.1498,77.2184,2024-05-18T05:45:00Z,,22.7,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0049.npz,GOOD,Curated wildfire candidate: Himachal Pradesh Shimla Forest Fire (cluster 3)
wf_sen2fire_0050,WILDFIRE,SEN2FIRE,SOURCE_LABEL,11.6404,76.4133,2024-02-28T05:25:00Z,,21.6,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0050.npz,GOOD,Curated wildfire candidate: Wayanad Wildlife Sanctuary Fire (cluster 3)
wf_sen2fire_0051,WILDFIRE,SEN2FIRE,SOURCE_LABEL,21.4783,77.1217,2024-04-10T05:20:00Z,,11.7,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0051.npz,GOOD,Curated wildfire candidate: Melghat Tiger Reserve Fire (cluster 3)
wf_sen2fire_0052,WILDFIRE,SEN2FIRE,SOURCE_LABEL,11.985,76.105,2024-03-10T05:30:00Z,,31.0,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0052.npz,ACCEPTABLE,Curated wildfire candidate: Nagarhole National Park Edge Fire (cluster 3)
wf_ts_satfire_0053,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,23.7721,92.7626,2024-04-05T04:50:00Z,,38.9,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0053.npz,ACCEPTABLE,Curated wildfire candidate: Mizoram Aizawl Forest Fire (cluster 3)
wf_sen2fire_0054,WILDFIRE,SEN2FIRE,SOURCE_LABEL,27.2828,76.4839,2024-03-29T05:35:00Z,,19.3,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0054.npz,GOOD,Curated wildfire candidate: Sariska Tiger Reserve Fire (cluster 3)
wf_ts_satfire_0055,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,32.1448,76.2241,2024-05-25T05:45:00Z,,28.3,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0055.npz,GOOD,Curated wildfire candidate: Changar Forest Fire Kangra (cluster 3)
wf_sen2fire_0056,WILDFIRE,SEN2FIRE,SOURCE_LABEL,38.475,23.815,2023-08-20T09:30:00Z,,18.2,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0056.npz,GOOD,Curated wildfire candidate: Evia Island Wildfire Greece (cluster 3)
wf_ts_satfire_0057,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,39.855,-121.385,2023-07-15T18:40:00Z,,17.0,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0057.npz,GOOD,Curated wildfire candidate: Camp Fire California (cluster 3)
wf_sen2fire_0058,WILDFIRE,SEN2FIRE,SOURCE_LABEL,-35.345,149.845,2023-01-10T00:15:00Z,,29.0,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0058.npz,GOOD,Curated wildfire candidate: Black Summer NSW Australia (cluster 3)
wf_ts_satfire_0059,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,56.7714,-111.4253,2023-06-08T18:50:00Z,,44.0,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0059.npz,ACCEPTABLE,Curated wildfire candidate: Boreal Wildfire Alberta Canada (cluster 3)
wf_sen2fire_0060,WILDFIRE,SEN2FIRE,SOURCE_LABEL,36.125,27.875,2023-07-22T08:50:00Z,,22.5,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0060.npz,GOOD,Curated wildfire candidate: Rhodes Island Forest Fire (cluster 3)
wf_sen2fire_0061,WILDFIRE,SEN2FIRE,SOURCE_LABEL,11.7267,76.6933,2024-03-15T05:30:00Z,,12.4,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0061.npz,GOOD,Curated wildfire candidate: Bandipur National Park Wildfire (cluster 4)
wf_sen2fire_0062,WILDFIRE,SEN2FIRE,SOURCE_LABEL,21.7733,86.3933,2024-03-22T05:15:00Z,,10.0,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0062.npz,GOOD,Curated wildfire candidate: Simlipal Tiger Reserve Fire (cluster 4)
wf_ts_satfire_0063,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,29.6574,79.5991,2024-05-02T05:40:00Z,,8.1,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0063.npz,GOOD,Curated wildfire candidate: Uttarakhand Almora Pine Forest Fire (cluster 4)
wf_ts_satfire_0064,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,31.0448,77.1134,2024-05-18T05:45:00Z,,22.7,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0064.npz,GOOD,Curated wildfire candidate: Himachal Pradesh Shimla Forest Fire (cluster 4)
wf_sen2fire_0065,WILDFIRE,SEN2FIRE,SOURCE_LABEL,11.7454,76.4283,2024-02-28T05:25:00Z,,21.6,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0065.npz,GOOD,Curated wildfire candidate: Wayanad Wildlife Sanctuary Fire (cluster 4)
wf_sen2fire_0066,WILDFIRE,SEN2FIRE,SOURCE_LABEL,21.3733,77.2267,2024-04-10T05:20:00Z,,11.7,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0066.npz,GOOD,Curated wildfire candidate: Melghat Tiger Reserve Fire (cluster 4)
wf_sen2fire_0067,WILDFIRE,SEN2FIRE,SOURCE_LABEL,12.09,76.09,2024-03-10T05:30:00Z,,31.0,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0067.npz,ACCEPTABLE,Curated wildfire candidate: Nagarhole National Park Edge Fire (cluster 4)
wf_ts_satfire_0068,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,23.6671,92.6576,2024-04-05T04:50:00Z,,38.9,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0068.npz,ACCEPTABLE,Curated wildfire candidate: Mizoram Aizawl Forest Fire (cluster 4)
wf_sen2fire_0069,WILDFIRE,SEN2FIRE,SOURCE_LABEL,27.3878,76.4989,2024-03-29T05:35:00Z,,19.3,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0069.npz,GOOD,Curated wildfire candidate: Sariska Tiger Reserve Fire (cluster 4)
wf_ts_satfire_0070,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,32.0398,76.3291,2024-05-25T05:45:00Z,,28.3,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0070.npz,GOOD,Curated wildfire candidate: Changar Forest Fire Kangra (cluster 4)
wf_sen2fire_0071,WILDFIRE,SEN2FIRE,SOURCE_LABEL,38.58,23.8,2023-08-20T09:30:00Z,,18.2,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0071.npz,GOOD,Curated wildfire candidate: Evia Island Wildfire Greece (cluster 4)
wf_ts_satfire_0072,WILDFIRE,TS_SATFIRE,SOURCE_LABEL,39.75,-121.49,2023-07-15T18:40:00Z,,17.0,,,"B02,B03,B04,B08,B11,B12",samples/wf_ts_satfire_0072.npz,GOOD,Curated wildfire candidate: Camp Fire California (cluster 4)
wf_sen2fire_0073,WILDFIRE,SEN2FIRE,SOURCE_LABEL,-35.24,149.86,2023-01-10T00:15:00Z,,29.0,,,"B02,B03,B04,B08,B11,B12",samples/wf_sen2fire_0073.npz,GOOD,Curated wildfire candidate: Black Summer NSW Australia (cluster 4)
